index,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children
0,0,342,2015,27,1,0,0,2,0
1,0,737,2015,27,1,0,0,2,0
2,0,7,2015,27,1,0,1,1,0
3,0,13,2015,27,1,0,1,1,0
4,0,14,2015,27,1,0,2,2,0
5,0,14,2015,27,1,0,2,2,0
6,0,0,2015,27,1,0,2,2,0
7,0,9,2015,27,1,0,2,2,0
8,1,85,2015,27,1,0,3,2,0
9,1,75,2015,27,1,0,3,2,0
10,1,23,2015,27,1,0,4,2,0
11,0,35,2015,27,1,0,4,2,0
12,0,68,2015,27,1,0,4,2,0
13,0,18,2015,27,1,0,4,2,1
14,0,37,2015,27,1,0,4,2,0
15,0,68,2015,27,1,0,4,2,0
16,0,37,2015,27,1,0,4,2,0
17,0,12,2015,27,1,0,1,2,0
18,0,0,2015,27,1,0,1,2,0
19,0,7,2015,27,1,0,4,2,0
20,0,37,2015,27,1,1,4,1,0
21,0,72,2015,27,1,2,4,2,0
22,0,72,2015,27,1,2,4,2,0
23,0,72,2015,27,1,2,4,2,0
24,0,127,2015,27,1,2,5,2,0
25,0,78,2015,27,1,2,5,2,0
26,0,48,2015,27,1,2,5,2,0
27,1,60,2015,27,1,2,5,2,0
28,0,77,2015,27,1,2,5,2,0
29,0,99,2015,27,1,2,5,2,0
30,0,118,2015,27,1,4,10,1,0
31,0,95,2015,27,1,4,11,2,0
32,1,96,2015,27,1,2,8,2,0
33,0,69,2015,27,2,2,4,2,0
34,1,45,2015,27,2,1,3,3,0
35,1,40,2015,27,2,1,3,3,0
36,0,15,2015,27,2,1,3,2,0
37,0,36,2015,27,2,1,3,3,0
38,1,43,2015,27,2,1,3,3,0
39,0,70,2015,27,2,2,3,2,0
40,1,45,2015,27,2,2,3,2,0
41,0,45,2015,27,2,2,3,2,0
42,0,16,2015,27,2,2,3,2,0
43,0,70,2015,27,2,2,3,2,0
44,0,107,2015,27,2,2,5,2,0
45,1,47,2015,27,2,2,5,2,2
46,0,96,2015,27,2,2,5,2,0
47,0,113,2015,27,2,2,5,2,0
48,0,90,2015,27,2,2,5,2,0
49,0,50,2015,27,2,2,5,2,0
50,0,113,2015,27,2,2,5,2,0
51,0,93,2015,27,2,3,8,2,0
52,0,76,2015,27,2,4,10,2,0
